genotype,summary
Rs10941694,[u'common on affy axiom data']
Rs1059846,[u'common in clinvar']
Rs10859871,[u'Slight (~1.2x) increase in endometriosis risk']
Rs1057126,[]
Rs10735781,[u'1.11x risk']
Rs10974944,[u'2 - 4 fold increased odds of V617F-associated MPNs']
Rs10896380,[]
Rs111033260,[u'Usher syndrome Type I']
Rs111033233,[u'common in clinvar']
Rs111033257,[u'common in clinvar']
Rs1061170,"[u'lower risk for AMD, generally longer live than (C) allele carriers']"
Rs11083750,[u'common in complete genomics']
Rs11012,[u'common on affy axiom data']
Rs1109748,[u'common in clinvar']
Rs11066001,[u'common in complete genomics']
Rs1064651,[u'carrier of Gaucher disease allele']
Rs11045585,[u'24% chance (lower than average) of docetaxel-induced leukopenia/neutropenia']
Rs111033171,[u'common in clinvar']
Rs1061502,[u'common in complete genomics']
Rs111033244,[u'Pendred Syndrome']
Rs111033214,[u'common in clinvar']
Rs10784502,[u'Slightly higher intracranial volume']
Rs10757272,[u'1.54x increased risk for Coronary artery disease']
Rs10975200,[u'1.14x risk']
Rs111033263,[u'common in clinvar']
Rs10800098,[u'common on affy axiom data']
Rs10961534,[u'common in complete genomics']
Rs10818488,[u'2.1x increased risk for rheumatoid arthritis']
Rs1057910,[u'normal; no effect on warfarin metabolism']
Rs1080985,[u'Homozygous for CYP2D6 variants (non-CYP2D6*1)']
Rs10974944,[u'common/normal']
Rs10757272,[u'1.30x increased risk for Coronary artery disease']
Rs10866713,[u'common in complete genomics']
Rs10794720,[u'common in complete genomics']
Rs111033239,[u'common in clinvar']
Rs111033260,[u'carrier for Usher syndrome Type I allele']
Rs1059896,[u'common in clinvar']
Rs10949483,[u'common in clinvar']
Rs10823116,[u'common in complete genomics']
Rs1062087,[u'common in clinvar']
Rs1056837,[u'common in clinvar']
Rs10871777,[u'normal']
Rs11045585,[u'(no data; implied high chance of docetaxel-induced leukopenia/neutropenia)']
Rs1065711,[u'common in clinvar']
Rs1065378,[u'common in clinvar']
Rs10984447,[u'&gt;1.17x increased risk for multiple sclerosis']
Rs1057126,[]
Rs1062087,[]
Rs1059536,[u'common in clinvar']
Rs1080984,[u'common in complete genomics']
Rs10811661,[u'normal']
Rs11038167,[u'common in complete genomics']
Rs10765792,[u'common on affy axiom data']
Rs10986769,[u'common in complete genomics']
Rs10897346,[u'normal']
Rs1064039,[u'slightly higher risk for Alzheimers in Caucasians but not Asians']
Rs1061147,[u'2.76x increased risk for Age Related Macular Degeneration.']
Rs111033194,[u'common/normal']
Rs10761659,[u'normal']
Rs111033181,[u'common in clinvar']
Rs10811661,[u'1.2x increased risk for type-2 diabetes']
Rs10994397,[u'common in complete genomics']
Rs1080992,[]
Rs1080993,[]
Rs10801935,[u'0.3x decreased risk of breast cancer']
Rs10735781,[u'&gt;1.11x risk']
Rs11014002,[u'common in complete genomics']
Rs10982724,[u'common in complete genomics']
Rs111033178,[u'common in clinvar']
Rs10892759,[u'normal']
Rs10759932,[u'normal']
Rs111033182,[u'common in clinvar']
Rs111033253,[u'common in clinvar']
Rs10889553,[u'common in complete genomics']
Rs1064651,[u'common/normal']
Rs1065569,[u'common in complete genomics']
Rs111033187,[u'common in clinvar']
Rs10922162,[u'common in clinvar']
Rs111033175,[u'common in clinvar']
Rs110419,[]
Rs1059423,[u'common in clinvar']
Rs10830963,[u'increased type-2 diabetes risk; higher gestational diabetes risk']
Rs10975200,[]
Rs10994336,[u'2.9x increased odds of developing bipolar disorder']
Rs10816625,[u'common/normal']
Rs1065411,[u'common in complete genomics']
Rs10877969,[u'common in complete genomics']
Rs10889677,[u'1.5x increased risk for certain autoimmune diseases; 2x increased risk for Graves disease']
Rs11039155,[]
Rs10825264,[u'common in complete genomics']
Rs1081003,[u'common in complete genomics']
Rs111033192,[u'common in clinvar']
Rs10985112,[u'common in complete genomics']
Rs1057868,[u'normal']
Rs1061472,[u'common in clinvar']
Rs10774610,[u'Likely has alcohol flush']
Rs1059488,[u'common in clinvar']
Rs1061170,[u'5.9x risk for AMD; higher mortality among nonagenarians']
Rs1065341,[u'common in complete genomics']
Rs10838527,[u'common in complete genomics']
Rs10754602,[u'common in clinvar']
Rs111033241,[u'common in clinvar']
Rs111033202,[u'common in clinvar']
Rs1057909,[u'CYP2C9_42612A&gt;G homozygote']
Rs1107946,[u'common in complete genomics']
Rs111033203,[u'common in clinvar']
Rs10871777,[u'adults likely to be 0.44 BMI units higher']
Rs111033247,[u'common in clinvar']
Rs11052552,[u'1.5x risk of type-1 diabetes']
Rs10783050,[u'common in complete genomics']
Rs111033780,[u'common in clinvar']
Rs111033590,[u'common in clinvar']
Rs11190870,[u'Possibly even more increased risk of scoliosis']
Rs11132186,[u'0.5x decreased risk for bladder cancer']
Rs111033803,[u'common in clinvar']
Rs111033347,[u'common in clinvar']
Rs11170164,[]
Rs111033334,[u'common in clinvar']
Rs11206226,[]
Rs111033738,[u'common in clinvar']
Rs111033652,[u'common in clinvar']
Rs1111875,[u'1x normal risk of T2D']
Rs111033658,[u'common in clinvar']
Rs111033822,[u'common in clinvar']
Rs111033580,[u'common in clinvar']
Rs11174811,[u'common in complete genomics']
Rs111033566,[u'common in clinvar']
Rs111033721,[u'common in clinvar']
Rs111033819,[u'common in clinvar']
Rs111687884,[u'common in clinvar']
Rs111033667,[u'common in clinvar']
Rs111033675,[u'common in clinvar']
Rs111033389,[u'common in clinvar']
Rs111033673,[u'common in clinvar']
Rs111033643,[u'common in clinvar']
Rs111033370,[u'common in clinvar']
Rs111033806,[u'common in clinvar']
Rs111033715,[u'common in clinvar']
Rs11123857,[]
Rs111437311,[u'common in clinvar']
Rs111033709,[u'common in clinvar']
Rs111033663,[u'common in clinvar']
Rs111033792,[u'common in clinvar']
Rs111033723,[u'common in clinvar']
Rs111033588,[u'common in clinvar']
Rs11134178,[u'common in complete genomics']
Rs111033701,[u'common in clinvar']
Rs111377893,[u'common in clinvar']
Rs111033790,[u'common in clinvar']
Rs111033779,[u'common in clinvar']
Rs111033695,[u'common in clinvar']
Rs111033341,[u'common in clinvar']
Rs11200638,[u'normal']
Rs111033716,[u'common in clinvar']
Rs111033849,[u'common in clinvar']
Rs112029328,[u'Dominant mutation associated with Familial Hypercholesterolemia']
Rs111033823,[u'common in clinvar']
Rs111033744,[u'common in clinvar']
Rs111033316,[u'common in clinvar']
Rs111033813,[u'common in clinvar']
Rs111033843,[u'common in clinvar']
Rs111033651,[u'common in clinvar']
Rs111033816,[u'common in clinvar']
Rs111033405,[u'common in clinvar']
Rs111033845,[u'common in clinvar']
Rs111367604,[u'common in clinvar']
Rs111033273,[u'common in clinvar']
Rs111033655,[u'common in clinvar']
Rs111033518,[u'common in clinvar']
Rs111033718,[u'common in clinvar']
Rs112019125,"[u""Possible late-onset Parkinson's disease variant""]"
Rs112019125,[u'common in complete genomics']
Rs111033384,[u'common in clinvar']
Rs11110912,[u'1.3x high blood pressure risk']
Rs111033638,[u'common in clinvar']
Rs11171739,[]
Rs111033754,[u'common in clinvar']
Rs111033758,[u'common in clinvar']
Rs111033594,[u'common in clinvar']
Rs11206801,[u'common in complete genomics']
Rs111729952,[u'common in clinvar']
Rs111430410,[u'common in clinvar']
Rs111033568,[u'common in clinvar']
Rs11175593,[u'common in complete genomics']
Rs111033764,[u'common in clinvar']
Rs111301312,[u'common in clinvar']
Rs111033337,[u'common in clinvar']
Rs111033596,[u'common in clinvar']
Rs111033330,[u'common in clinvar']
Rs111033629,[u'common in clinvar']
Rs111033844,[u'common in clinvar']
Rs111033831,[u'common in clinvar']
Rs111033783,[u'common in clinvar']
Rs111033736,[u'common in clinvar']
Rs111033546,[u'common in clinvar']
Rs111854391,[u'common in clinvar']
Rs111033577,[u'common in clinvar']
Rs111033640,[u'carrier of a Duarte galactosemia allele']
Rs11171739,[u'1.75x risk of developing Type-1 diabetes']
Rs111033547,[u'common in clinvar']
Rs111671429,[u'common in clinvar']
Rs111033628,[u'common in clinvar']
Rs111033564,[u'common in clinvar']
Rs111033605,[u'common in clinvar']
Rs11144688,[u'common on affy axiom data']
Rs111033739,[u'common in clinvar']
Rs111033720,[u'common in clinvar']
Rs111033830,[u'common in clinvar']
Rs111033717,[u'common in clinvar']
Rs111033661,[u'common in clinvar']
Rs111033645,[u'common in clinvar']
Rs111033626,[u'common in clinvar']
Rs111033550,[u'common in clinvar']
Rs111033752,[u'common in clinvar']
Rs111060774,[u'common in clinvar']
Rs111060773,[u'common in clinvar']
Rs111033775,[u'common in clinvar']
Rs111033631,[u'common in clinvar']
Rs11136000,"[u""0.84x decreased risk for Alzheimer's disease""]"
Rs111647200,[u'common in clinvar']
Rs111033618,[u'common in clinvar']
Rs111033382,[u'common in clinvar']
Rs111033383,[u'common in clinvar']
Rs111033602,[u'common in clinvar']
Rs111033314,[u'common in clinvar']
Rs111033772,[u'common in clinvar']
Rs111033676,[u'common in clinvar']
Rs111033571,[u'common in clinvar']
Rs11187837,[u'common in complete genomics']
Rs111033755,[u'common in clinvar']
Rs111033640,[u'common in clinvar']
Rs111294855,[u'common in clinvar']
Rs111033621,[u'common in clinvar']
Rs111033655,[u'common in clinvar']
Rs111033730,[u'common in clinvar']
Rs111033570,[u'common in clinvar']
Rs111033784,[u'common in clinvar']
Rs111290936,"[u""Late-onset Parkinson's disease (likely)""]"
Rs111436401,[u'common in clinvar']
Rs1113673,[u'common in complete genomics']
Rs111060774,[u'common in clinvar']
Rs111033433,[u'common in clinvar']
Rs111290936,"[u""Late-onset Parkinson's disease (likely)""]"
Rs111033428,[u'common in clinvar']
Rs111033815,[u'common in clinvar']
Rs111033553,[u'common in clinvar']
Rs111033606,[u'common in clinvar']
Rs11190302,[]
Rs11195419,[u'common in complete genomics']
Rs11110912,[u'1.3x high blood pressure risk']
Rs111033276,[u'common in clinvar']
Rs111033415,[u'common in clinvar']
Rs111033719,[u'common in clinvar']
Rs111033778,[u'common in clinvar']
Rs111033817,[u'common in clinvar']
Rs11191580,[u'common on affy axiom data']
Rs11200014,[u'1.64x risk for breast cancer']
Rs111033809,[u'common in clinvar']
Rs111033702,[u'common in clinvar']
Rs111033545,[u'common in clinvar']
Rs111033379,[u'common in clinvar']
Rs111033529,[u'common in clinvar']
Rs111033725,[u'common in clinvar']
Rs111033748,[u'common in clinvar']
Rs111033769,[u'common in clinvar']
Rs111033714,[u'common in clinvar']
Rs111231312,[u'common in clinvar']
Rs111033812,[u'common in clinvar']
Rs111033617,[u'common in clinvar']
Rs111033307,[u'common in clinvar']
Rs111033540,[u'common in clinvar']
Rs111033670,[u'common in clinvar']
Rs111033313,[u'common in clinvar']
Rs111033648,[u'common in clinvar']
Rs111033544,[u'common in clinvar']
Rs111033303,[u'common in clinvar']
Rs111033451,[u'common in clinvar']
Rs111033373,[u'common in clinvar']
Rs111033794,[u'common in clinvar']
Rs11177074,[u'common in complete genomics']
Rs111033669,[u'common in clinvar']
Rs111033800,[u'common in clinvar']
Rs11187870,[u'common in complete genomics']
Rs111033684,[u'common in clinvar']
Rs111033565,[u'common in clinvar']
Rs111033747,[u'common in clinvar']
Rs111033548,[u'common in clinvar']
Rs111033619,[u'common in clinvar']
Rs111033573,[u'common in clinvar']
Rs111033722,[u'common in clinvar']
Rs111033634,[u'common in clinvar']
Rs111033635,[u'common in clinvar']
Rs11130248,[u'common in complete genomics']
Rs111033700,[u'common in clinvar']
Rs111683277,[u'common in clinvar']
Rs11134474,[u'common in complete genomics']
Rs111033426,[u'common in clinvar']
Rs111033833,[u'common in clinvar']
Rs111320759,[u'common in clinvar']
Rs111033737,[u'common in clinvar']
Rs11146020,[]
Rs11146842,[u'common in clinvar']
Rs112039851,[u'common in clinvar']
Rs111033690,[u'common in complete genomics']
Rs111033293,[u'Carrier of a recessive deafness mutation']
Rs111033543,[u'common in clinvar']
Rs111033679,[u'common in clinvar']
Rs111033285,[u'common in clinvar']
Rs111033644,[u'common in clinvar']
Rs111033612,[u'common in clinvar']
Rs111033305,[u'common in clinvar']
Rs111033825,[u'common in clinvar']
Rs111033538,[u'common in clinvar']
Rs111033753,[u'common in clinvar']
Rs111033705,[u'common in clinvar']
Rs111033838,[u'common in clinvar']
Rs11172782,[u'common in complete genomics']
Rs111033595,[u'common in clinvar']
Rs111033526,[u'common in clinvar']
Rs111033455,[u'common in clinvar']
Rs111033708,[u'common in clinvar']
Rs111033574,[u'common in clinvar']
Rs111033846,[u'common in clinvar']
Rs111033283,[u'common in clinvar']
Rs111033677,[u'common in clinvar']
Rs111033692,[u'common in clinvar']
Rs11110077,[u'common in complete genomics']
Rs111033646,[u'common in clinvar']
Rs111033557,[u'common in complete genomics']
Rs111033850,[u'common in clinvar']
Rs111033770,[u'common in clinvar']
Rs111033295,[u'common in clinvar']
Rs111033319,[u'common in clinvar']
Rs111052004,[u'common in clinvar']
Rs111033296,[u'Carrier of a recessive deafness mutation']
Rs111033654,[u'common in clinvar']
Rs11110912,[u'normal']
Rs111033407,[u'common in clinvar']
Rs1118473,[u'Relevant to haplogroup R1']
Rs11171846,[]
Rs111033836,[u'common in clinvar']
Rs11190870,[u'Possibly increased risk of scoliosis']
Rs111033688,[u'common in clinvar']
Rs111033689,[u'common in clinvar']
Rs111033762,[u'common in clinvar']
Rs111033680,[u'common in clinvar']
Rs111033614,[u'common in clinvar']
Rs111033615,[u'common in clinvar']
Rs111033593,[u'common in clinvar']
Rs111033743,[u'common in clinvar']
Rs111033622,[u'common in clinvar']
Rs111033297,[u'Carrier of a recessive deafness mutation']
Rs111033601,[u'common in clinvar']
Rs111033566,"[u'Problematic; maybe pathogenic for hereditary pancreatitis, maybe not']"
Rs111033587,[u'common in clinvar']
Rs111033306,[u'common in clinvar']
Rs111033417,[u'common in clinvar']
Rs111033729,[u'common in clinvar']
Rs112084407,[u'common in clinvar']
Rs111033808,[u'common in clinvar']
Rs111033348,[u'common in clinvar']
Rs111929073,[u'common in clinvar']
Rs111033510,[u'common in clinvar']
Rs11200638,[u'~10x increased risk of wet age related macular degeneration']
Rs112029328,[u'dominant mutation leading to Familial Hypercholesterolemia']
Rs111426349,[u'common in clinvar']
Rs111706634,[u'common in clinvar']
Rs111033674,[u'common in clinvar']
Rs111033401,[u'Carrier of a recessive deafness mutation']
Rs111033579,[u'common in clinvar']
Rs111033434,[u'common in clinvar']
Rs111033295,[u'Carrier of a recessive deafness mutation']
Rs111033834,[u'common in clinvar']
Rs111033710,[u'common in clinvar']
Rs111033832,[u'common in clinvar']
Rs111033668,[u'common in clinvar']
Rs11206510,[]
Rs111290936,[u'common in complete genomics']
Rs111033309,[u'common in clinvar']
Rs111033625,[u'common in clinvar']
Rs111742810,[u'common in clinvar']
Rs111033683,[u'common in clinvar']
Rs11107987,[u'common in complete genomics']
Rs111033598,[u'common in clinvar']
Rs111784356,[u'common in clinvar']
Rs111033630,[u'common in clinvar']
Rs111033552,[u'common in clinvar']
Rs11176013,[u'common in clinvar']
Rs111364670,[u'common in clinvar']
Rs111996685,[u'common in clinvar']
Rs111929350,[u'common in clinvar']
Rs111033766,[u'common in clinvar']
Rs111033662,[u'common in clinvar']
Rs111033317,[u'common in clinvar']
Rs11132186,[]
Rs111033296,[u'common in clinvar']
Rs111033386,[u'common in clinvar']
Rs11200014,[u'1.20x risk for breast cancer']
Rs111033763,[u'common in clinvar']
Rs1111875,[]
Rs111888148,[u'common in clinvar']
Rs111033694,[u'common in clinvar']
Rs11155133,[u'common in complete genomics']
Rs1111875,[]
Rs11178998,[]
Rs111723244,[u'common in clinvar']
Rs111033401,[u'common in clinvar']
Rs111033620,[u'common in clinvar']
Rs111033367,[u'common in clinvar']
Rs111033591,[u'common in clinvar']
Rs111033810,[u'common in clinvar']
Rs111033704,[u'common in clinvar']
Rs112029032,[u'common in clinvar']
Rs111033473,[u'common in clinvar']
Rs111033299,[u'common in clinvar']
Rs111576740,[u'common in clinvar']
Rs111611328,[u'common in complete genomics']
Rs111033757,[u'common in clinvar']
Rs111033563,[u'common in clinvar']
Rs1111875,[]
Rs111033308,[u'common in clinvar']
Rs111033742,[u'common in clinvar']
Rs111033318,[u'common in clinvar']
Rs111033839,[u'common in clinvar']
Rs111033636,[u'common in clinvar']
Rs111033637,[u'common in clinvar']
Rs111033749,[u'common in clinvar']
Rs111033774,[u'common in clinvar']
Rs111033682,[u'common in clinvar']
Rs111033746,[u'common in clinvar']
Rs111033623,[u'common in clinvar']
Rs111033290,[u'common in clinvar']
Rs111033826,[u'common in clinvar']
Rs111033616,[u'common in clinvar']
Rs111033294,[u'common in clinvar']
Rs111033611,[u'common in clinvar']
Rs111033342,[u'common in clinvar']
Rs111584802,[u'common in clinvar']
Rs111033448,[u'common in clinvar']
Rs111033627,[u'common in clinvar']
Rs111033802,[u'common in clinvar']
Rs111033656,[u'common in clinvar']
Rs1110627,[u'common in clinvar']
Rs111033759,[u'common in clinvar']
Rs111033681,[u'common in clinvar']
Rs11162922,[u'2x risk']
Rs11191548,[]
Rs111033404,[u'common in clinvar']
Rs11164838,[u'common']
Rs11162922,[u'normal']
Rs111978932,[u'common in clinvar']
Rs111033592,[u'common in clinvar']
Rs111401431,[u'common in clinvar']
Rs111033302,[u'common in clinvar']
Rs111033796,[u'common in clinvar']
Rs111033610,[u'common in clinvar']
Rs111033659,[u'common in clinvar']
Rs11172113,[u'0.9x lower risk for migraines']
Rs111033556,[u'common in clinvar']
Rs111033697,[u'common in clinvar']
Rs111033686,[u'common in clinvar']
Rs111033741,[u'common in clinvar']
Rs11143609,[u'common on affy axiom data']
Rs111856492,[u'common in clinvar']
Rs111033786,[u'common in clinvar']
Rs111033735,[u'common in clinvar']
Rs111033486,[u'common in clinvar']
Rs111033731,[u'common in clinvar']
Rs111033751,[u'common in clinvar']
Rs111033447,[u'common in clinvar']
Rs111033678,[u'common in clinvar']
Rs111033613,[u'common in clinvar']
Rs111033814,[u'common in clinvar']
Rs111033403,[u'common in clinvar']
Rs111033804,[u'common in clinvar']
Rs111033687,[u'common in clinvar']
Rs11204213,[u'common in clinvar']
Rs111033566,"[u'Problematic; maybe pathogenic for hereditary pancreatitis, maybe not']"
Rs11121179,[]
Rs111033777,[u'common in clinvar']
Rs111505097,[u'common in clinvar']
Rs111033307,[u'carrier of a Pendred Syndrome allele']
Rs111033699,[u'common in clinvar']
Rs111033767,[u'common in clinvar']
Rs111734407,[u'common in clinvar']
Rs111033345,[u'common in clinvar']
Rs11172113,[u'0.8x lower risk for migraines']
Rs111033624,[u'common in clinvar']
Rs111033454,[u'common in clinvar']
Rs111033632,[u'common in clinvar']
Rs111033307,[u'Pendred Syndrome']
Rs111033335,[u'Carrier of a recessive deafness mutation']
Rs111033821,[u'common in clinvar']
Rs111033385,[u'common in clinvar']
Rs111033693,[u'common in clinvar']
Rs111033541,[u'common in clinvar']
Rs111033559,[u'common in clinvar']
Rs111033539,[u'common in clinvar']
Rs111929350,[u'common in clinvar']
Rs111033414,[u'common in clinvar']
Rs111033420,[u'common in clinvar']
Rs11136000,[u'normal']
Rs111033795,[u'common in clinvar']
Rs111033418,[u'common in clinvar']
Rs111033554,[u'common in clinvar']
Rs111033549,[u'common in clinvar']
Rs111033575,[u'common in clinvar']
Rs111033558,[u'common in clinvar']
Rs111033349,[u'common in clinvar']
Rs111033306,[u'common in clinvar']
Rs111033542,[u'common in clinvar']
Rs111569862,[u'common in clinvar']
Rs111534978,[u'common in clinvar']
Rs111033726,[u'common in clinvar']
Rs1114620,[u'common in complete genomics']
Rs111033551,[u'common in clinvar']
Rs11136000,"[u""0.84x decreased risk for Alzheimer's disease""]"
Rs111033765,[u'common in clinvar']
Rs11200638,[u'~2x increased risk of age related macular degeneration']
Rs111033576,[u'common in clinvar']
Rs111801777,[u'common in clinvar']
Rs111724246,[u'common in clinvar']
Rs111033380,[u'common in clinvar']
Rs111033639,[u'common in clinvar']
Rs111033728,[u'common in clinvar']
Rs11191439,[u'common on affy axiom data']
Rs111033567,[u'common in clinvar']
Rs112019125,"[u""Possible late-onset Parkinson's disease variant""]"
Rs11171739,[u'1.34x risk of developing Type-1 diabetes']
Rs111033827,[u'common in clinvar']
Rs111033740,[u'common in clinvar']
Rs111033785,[u'common in clinvar']
Rs11170164,[u'common on affy axiom data']
Rs111033603,[u'common in clinvar']
Rs111033761,[u'common in clinvar']
Rs111619594,[u'common in clinvar']
Rs112029328,[u'common in complete genomics']
Rs111033390,[u'common in clinvar']
Rs111033609,[u'common in clinvar']
Rs111033297,[u'common in clinvar']
Rs111033799,[u'common in clinvar']
Rs111033572,[u'common in clinvar']
Rs111033555,[u'common in clinvar']
Rs111293259,[u'common in clinvar']
Rs111033828,[u'common in clinvar']
Rs111033311,[u'common in clinvar']
Rs111517471,[u'common in clinvar']
Rs11164838,[u'&gt;1.11x risk']
Rs111033608,[u'common in clinvar']
Rs111033286,[u'common in clinvar']
Rs111033581,[u'common in clinvar']
Rs111033664,[u'common in clinvar']
Rs111033829,[u'common in clinvar']
Rs111033788,[u'common in clinvar']
Rs111033335,[u'common in clinvar']
Rs111033603,[u'Alpha-thalassemia allele carrier']
Rs111404182,[u'common in clinvar']
Rs111033284,[u'common in clinvar']
Rs111033750,[u'common in clinvar']
Rs111033482,[u'common in clinvar']
Rs111033272,[u'common in clinvar']
Rs111033841,[u'common in clinvar']
Rs111033343,[u'common in clinvar']
Rs11162922,[u'1.3x risk']
Rs111033798,[u'common in clinvar']
Rs111033818,[u'common in clinvar']
Rs111033312,[u'common in clinvar']
Rs111033848,[u'common in clinvar']
Rs111033838,[u'common in clinvar']
Rs11190302,[]
Rs112029328,[u'dominant mutation leading to Familial Hypercholesterolemia']
Rs111033787,[u'common in clinvar']
Rs11170164,[u'1.35x risk of basal cell carcinoma']
Rs11203289,[u'common in clinvar']
Rs11144134,[u'common on affy axiom data']
Rs11190302,[]
Rs111033589,[u'common in clinvar']
Rs11178997,[]
Rs11171739,[u'Normal risk of developing Type-1 diabetes']
Rs111033651,[u'common in clinvar']
Rs111500556,[u'common in complete genomics']
Rs111033446,[u'common in clinvar']
Rs111033364,[u'common in clinvar']
Rs111033666,[u'common in clinvar']
Rs111033293,[u'common in clinvar']
Rs111033801,[u'common in clinvar']
Rs11164838,[u'1.11x risk']
Rs111033451,[u'Carrier of a recessive deafness mutation']
Rs111033660,[u'common in clinvar']
Rs111033791,[u'common in clinvar']
Rs111033294,[u'Carrier of a recessive deafness mutation']
Rs111060773,[u'common in clinvar']
Rs111033388,[u'common in clinvar']
Rs111549748,[u'common in clinvar']
Rs11132186,[]
Rs111033299,[u'Carrier of a recessive deafness mutation']
Rs111033665,[u'common in clinvar']
Rs111033400,[u'common in clinvar']
Rs111033647,[u'common in clinvar']
Rs111033597,[u'common in clinvar']
Rs111033649,[u'common in clinvar']
Rs111033781,[u'common in clinvar']
Rs111033566,"[u'Problematic; maybe pathogenic for hereditary pancreatitis, maybe not']"
Rs111033578,[u'common in clinvar']
Rs111033734,[u'common in clinvar']
Rs111033782,[u'common in clinvar']
Rs111033824,[u'common in clinvar']
Rs11200014,[u'common']
Rs111033773,[u'common in clinvar']
Rs111033560,[u'common in clinvar']
Rs113994068,[u'common in clinvar']
Rs113993962,[u'carrier for Bloom syndrome mutation']
Rs1135071,[u'common in clinvar']
Rs1130947,[u'common in clinvar']
Rs113994027,[u'common in clinvar']
Rs1131217,[u'common in clinvar']
Rs113994049,[u'common in clinvar']
Rs113993980,[u'common in clinvar']
Rs1136695,[u'common in clinvar']
Rs113111224,[u'common in clinvar']
Rs113324237,[u'common in clinvar']
Rs113993959,[u'normal']
Rs113993998,[u'common in clinvar']
Rs113994031,[u'common in clinvar']
Rs1131285,[u'common in clinvar']
Rs1130426,[u'common in clinvar']
Rs1131215,[u'common in clinvar']
Rs113449357,[u'likely to be benign']
Rs112118237,[u'common in clinvar']
Rs1135835,[]
Rs1131156,[u'common in clinvar']
Rs113624356,[u'common in clinvar']
Rs1136656,[u'common in clinvar']
Rs11259096,[u'common in complete genomics']
Rs11209032,[u'1.3x higher risk for spondylitis']
Rs11252845,[u'common in complete genomics']
Rs11246226,[u'increased risk of schizophrenia in limited study']
Rs1136688,[u'common in clinvar']
Rs1136689,[u'common in clinvar']
Rs112534524,[u'common in clinvar']
Rs113871094,[u'common in clinvar']
Rs113860699,[u'common in clinvar']
Rs112901682,[u'common in clinvar']
Rs113994113,[u'common in clinvar']
Rs113525292,[u'common in clinvar']
Rs1126742,[u'higher hypertension risk']
Rs113517055,[u'common in clinvar']
Rs113994084,[u'common in clinvar']
Rs1136835,[u'common in clinvar']
Rs1131119,[u'common in clinvar']
Rs1135062,[u'common in clinvar']
Rs113994042,[u'common in clinvar']
Rs113994063,[u'common in clinvar']
Rs1130866,"[u'if sclerotic, reduced risk of lung disease']"
Rs1131532,[u'3-6x higher odds of worse outcomes in breast cancer patients']
Rs113994066,[u'common in clinvar']
Rs112205661,[u'common']
Rs112240298,[u'common in clinvar']
Rs113173389,[u'common in clinvar']
Rs1137617,[u'common']
Rs1135837,[u'common in complete genomics']
Rs113994022,[u'common in clinvar']
Rs113993960,[u'Cystic Fibrosis; homozygote for delta F-508 mutation']
Rs113488022,[u'related to skin moles and melanoma']
Rs112911555,[u'common in clinvar']
Rs113857788,[u'cystic fibrosis carrier']
Rs1138484,[u'common in clinvar']
Rs1121980,[u'average']
Rs113167551,[u'common in clinvar']
Rs1135832,[]
Rs113994090,[u'common in clinvar']
Rs113809142,"[u""~2x higher risk for Alzheimer's disease""]"
Rs113831133,[u'common in clinvar']
Rs113993959,[u'Cystic Fibrosis; homozygote for G542X mutation']
Rs113993992,[u'common in clinvar']
Rs113994006,[u'common in clinvar']
Rs1131532,[u'normal']
Rs1128535,"[u""0.77x risk for Crohn's disease""]"
Rs1124303,[]
Rs113388242,"[u""Possible late-onset Parkinson's disease variant""]"
Rs1135101,[u'common in complete genomics']
Rs113487931,[u'common in clinvar']
Rs1126497,[u'normal']
Rs11212617,[u'common in clinvar']
Rs1135833,[u'common in complete genomics']
Rs113812345,[u'common in clinvar']
Rs113313554,[u'common in clinvar']
Rs113001196,[u'common in clinvar']
Rs1136657,[u'common in clinvar']
Rs113994055,[u'common in clinvar']
Rs113068438,[u'common in clinvar']
Rs113446173,[u'common in clinvar']
Rs113994103,[u'common in clinvar']
Rs113993965,[u'common in clinvar']
Rs113994073,[u'common in clinvar']
Rs113994112,[u'common in clinvar']
Rs112205661,[u'unaffected carrier of rare mutation']
Rs113993961,[u'normal']
Rs1135675,[u'common in clinvar']
Rs113994056,[u'common in clinvar']
Rs1129844,"[u""Significant delay in onset of early-onset Alzheimer's; possibly a 2.5 year delay in onset of late-onset Alzheimer's""]"
Rs11248051,[u'common on affy axiom data']
Rs113994097,[u'Carrier of a mutation associated with ataxias']
Rs113994023,[u'common in clinvar']
Rs11209032,[u'normal risk']
Rs113882203,[u'common in complete genomics']
Rs113994011,[u'common in clinvar']
Rs1130495,[u'common on affy axiom data']
Rs1137617,[u'common in clinvar']
Rs1127354,[u'lower ITPA production; be aware if treated with ribavirin or mercaptopurine']
Rs1137282,[u'common in clinvar']
Rs113994030,[u'common in clinvar']
Rs113994028,[u'common in clinvar']
Rs1135832,[]
Rs11258194,[u'common on affy axiom data']
Rs1136700,[u'common in clinvar']
Rs113086760,[u'common in clinvar']
Rs1126742,[u'normal']
Rs11218343,[]
Rs1137110,[u'common in clinvar']
Rs11212364,[u'common in complete genomics']
Rs112642323,[u'common in clinvar']
Rs113169049,"[u""Possible late-onset Parkinson's disease variant""]"
Rs1135216,[u'common in complete genomics']
Rs113994108,[u'common in clinvar']
Rs113449357,[u'common in clinvar']
Rs1129706,[u'common in complete genomics']
Rs113669610,[u'common in clinvar']
Rs113993995,[u'common in clinvar']
Rs11229030,"[u""higher odds of Crohn's disease""]"
Rs11246226,[u'decreased risk of schizophrenia in limited study']
